Company,Job Detail,Required Skills,City,HR Email
Accuknox,"['Role: Manual Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['System architecture', 'Stress testing', 'cloud security', 'Load testing', 'Testing tools', 'Performance testing', 'Vulnerability', 'Test cases', 'Penetration testing']",Remote,careers@accuknox.com
Accenture,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['network security', 'sap security', 'access management', 'cyber security', 'threat management', 'information security', 'vulnerability assessment', 'security systems']",Indore,careers@accenture.com
Cyber Infrastructure,"['Role: Software Development - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Computer Science Engineering, Data Science, Information Technology, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers, Artificial Intelligence And Machine Learning', 'PG: MCA in Any Specialization']","['OOPS', 'C#', 'SQL Database', '.Net']",Indore,careers@cyberinfrastructure.com
Ditstek Innovation Pvt. Ltd.,"['Role: System Administrator / Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['PowerShell', 'Backup Administration', 'Cyber Security', 'Ansible', 'HIPAA', 'IT Operations', 'Python']",Indore,careers@ditstekinnovationpvt.ltd..com
Symbiosis University of Applied Sciences(SUAS),"['Role: Academic Coordinator', 'Industry Type: Education / Training', 'Department: Teaching & Training', 'Employment Type: Full Time, Permanent', 'Role Category: University Level Educator', 'PG: MS/M.Sc(Science) in Data Informatics, Systems Architecting and Engineering, Computers, Cyber Security Engineering, M.Tech in Computers, MCA in Computers']","['Communication Skills', 'Presentation Skills', 'Coordination', 'Facilitation', 'Coordination Skills', 'Interpersonal Skills']",Indore( Bada Bangarda ),careers@symbiosisuniversityofappliedsciences(suas).com
NextGen Invent,"['Role: QA Team Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['ISMS', 'Internal audit', 'ISO 9001', 'Compliance', 'Information security management', 'HIPAA', 'ISO 27001', 'Management', 'Software quality assurance', 'SDLC']",Remote,careers@nextgeninvent.com
Astra Security,"['Role: Application Security Engineer', 'Industry Type: Law Enforcement / Security Services', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['French', 'Web technologies', 'cyber security', 'SAAS', 'Cloud', 'Vulnerability', 'Open source', 'Testing']",Remote,careers@astrasecurity.com
Microexcel,"['Role: Hardware Platform Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: Hardware', 'UG: Any Graduate', 'PG: Any Postgraduate']","['SAN', 'KVM', 'Linux', 'Infrastructure management', 'Information security', 'Customer service', 'Troubleshooting', 'Open source', 'Information technology', 'Virtualization']",Remote,careers@microexcel.com
phData,"['Role: Engineering Manager', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'Product engineering', 'Performance management', 'Coding', 'Access management', 'Project management', 'Information security', 'SOC', 'Risk management', 'Auditing']",Remote,careers@phdata.com
Sentient Foundation,"['Role: Head - Information Security', 'Industry Type: Analytics / KPO / Research', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Backend', 'Front end', 'ISO', 'Cisa', 'Information security', 'ISO 27001', 'Incident management', 'Application security', 'Risk management', 'Penetration testing']",Remote,careers@sentientfoundation.com
Talent Corner Hr Services,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Firewalls', 'endpoint security', 'CEH', 'DLP', 'ITIL', 'IPS', 'NAC', 'PMP', 'SIEM', 'CISSP', 'IDS', 'CISM']","Mumbai, Indore",careers@talentcornerhrservices.com
